ID_MONITORIA,DATA,AVAYALOGIN,SUPERVISOR,SEGMENTO,ANALISTA,NOTA_FINAL,Saudação e Identificação,Escuta Ativa,Clareza na Comunicação,Resolução no Primeiro Contato,Empatia com o Cliente,Conhecimento do Produto,Seguiu Script,Encerramento Adequado
234,2024-02-10,5510023,Supervisor 6,Segmento 1,Mariane Cirino,6.2,5,8,5,7,9,9,2,5
235,2024-03-15,5510023,Supervisor 6,Segmento 1,Helena Nascimento,2.9,2,3,4,10,0,2,1,1
236,2024-03-06,5510023,Supervisor 6,Segmento 1,Ana Vitória Sampaio,5.8,9,9,0,6,4,3,6,9
237,2024-03-11,5510023,Supervisor 6,Segmento 1,Pedro Melo,6.9,7,7,9,4,4,7,10,7
238,2024-03-21,5510023,Supervisor 6,Segmento 1,Emilly da Rosa,4.1,4,9,2,10,0,5,0,3
239,2024-03-21,5510023,Supervisor 6,Segmento 1,Davi Luiz Sá,5.8,1,8,2,7,3,6,9,10
240,2024-03-17,5510023,Supervisor 6,Segmento 1,Dr. Vitor Gabriel Teixeira,5.4,10,2,1,9,1,6,7,7
241,2024-01-19,5510025,Supervisor 6,Segmento 1,Arthur Gabriel Nogueira,6.1,0,8,6,6,9,4,7,9
242,2024-01-22,5510025,Supervisor 6,Segmento 1,Aylla Gomes,4.4,3,8,0,2,8,3,9,2
243,2024-02-25,5510025,Supervisor 6,Segmento 1,Ana Luiza Vieira,6.9,7,8,1,7,8,9,5,10
244,2024-02-27,5510025,Supervisor 6,Segmento 1,José Miguel Pires,5.6,2,7,8,6,9,0,10,3
245,2024-03-25,5510025,Supervisor 6,Segmento 1,Olivia Siqueira,3.9,0,10,0,4,5,1,2,9
246,2024-03-06,5510025,Supervisor 6,Segmento 1,Sr. Pedro Lucas Cavalcante,6.2,7,9,10,9,1,6,7,1
247,2024-01-03,5510026,Supervisor 3,Segmento 4,Luiz Miguel Fonseca,3.9,1,3,7,0,1,8,10,1
248,2024-01-13,5510026,Supervisor 3,Segmento 4,Gustavo Henrique da Costa,3.8,1,0,7,3,5,5,2,7
249,2024-01-06,5510026,Supervisor 3,Segmento 4,Cecilia da Conceição,3.5,8,4,5,1,2,7,1,0
250,2024-01-14,5510026,Supervisor 3,Segmento 4,Ana Laura da Rosa,6.4,5,10,3,10,8,8,3,4
251,2024-01-13,5510026,Supervisor 3,Segmento 4,Arthur Gabriel da Costa,8.6,9,10,8,7,10,7,8,10
252,2024-02-25,5510026,Supervisor 3,Segmento 4,Isaque Monteiro,6.0,9,4,1,5,6,7,9,7
253,2024-02-04,5510026,Supervisor 3,Segmento 4,Maria Alice da Conceição,6.8,10,10,8,0,8,6,8,4
254,2024-02-21,5510026,Supervisor 3,Segmento 4,Luigi Sousa,6.4,7,6,2,5,9,9,6,7
255,2024-02-08,5510026,Supervisor 3,Segmento 4,Dr. João Vitor da Mata,4.5,2,3,3,4,6,10,1,7
256,2024-02-27,5510026,Supervisor 3,Segmento 4,Vinicius Moraes,5.4,8,9,1,7,7,1,0,10
257,2024-03-25,5510026,Supervisor 3,Segmento 4,Srta. Heloísa Araújo,5.0,10,2,0,3,7,8,6,4
258,2024-03-13,5510026,Supervisor 3,Segmento 4,Allana da Mota,5.5,1,1,8,9,10,4,7,4
259,2024-03-11,5510026,Supervisor 3,Segmento 4,João Miguel Brito,6.5,7,1,7,9,9,3,8,8
260,2024-03-19,5510026,Supervisor 3,Segmento 4,Alana Ramos,6.2,6,8,4,8,7,8,6,3
261,2024-03-17,5510026,Supervisor 3,Segmento 4,Caio da Mota,5.6,8,2,4,6,9,8,7,1
262,2024-01-03,5510027,Supervisor 6,Segmento 2,Vitor Sampaio,3.9,6,8,5,5,1,3,1,2
263,2024-01-26,5510027,Supervisor 6,Segmento 2,Theo Mendes,5.6,7,10,10,7,3,1,5,2
264,2024-02-16,5510027,Supervisor 6,Segmento 2,Sarah Fogaça,4.5,8,1,5,9,0,4,3,6
265,2024-02-10,5510027,Supervisor 6,Segmento 2,Lorenzo Moura,4.9,10,1,2,9,1,5,1,10
266,2024-03-01,5510027,Supervisor 6,Segmento 2,Beatriz Ribeiro,5.0,6,3,9,4,5,1,10,2
267,2024-03-22,5510027,Supervisor 6,Segmento 2,Arthur Freitas,5.2,8,5,8,9,1,3,0,8
268,2024-01-04,5510028,Supervisor 1,Segmento 1,Liam Andrade,5.1,8,1,7,9,1,1,5,9
269,2024-01-04,5510028,Supervisor 1,Segmento 1,Nicole Nunes,5.8,10,8,7,2,4,8,3,4
270,2024-01-20,5510028,Supervisor 1,Segmento 1,Sra. Bella Pires,4.6,3,0,10,6,7,4,1,6
271,2024-01-13,5510028,Supervisor 1,Segmento 1,João Miguel Nunes,5.9,7,1,2,3,9,8,8,9
272,2024-01-09,5510028,Supervisor 1,Segmento 1,Daniela Souza,6.8,1,3,9,10,9,7,9,6
273,2024-01-23,5510028,Supervisor 1,Segmento 1,Yan Souza,7.2,8,8,7,8,9,9,7,2
274,2024-02-17,5510028,Supervisor 1,Segmento 1,Srta. Anna Liz Novais,4.9,4,3,7,2,4,10,3,6
275,2024-02-22,5510028,Supervisor 1,Segmento 1,Dr. Rhavi Melo,4.8,7,5,2,3,5,6,3,7
276,2024-02-26,5510028,Supervisor 1,Segmento 1,Aurora Fogaça,6.9,1,0,10,10,8,10,9,7
277,2024-02-19,5510028,Supervisor 1,Segmento 1,Breno Farias,5.1,3,3,5,6,1,3,10,10
278,2024-02-15,5510028,Supervisor 1,Segmento 1,Rafaela Pires,4.5,0,8,5,2,4,7,1,9
279,2024-02-02,5510028,Supervisor 1,Segmento 1,João Felipe Sales,4.0,5,3,5,3,0,7,7,2
280,2024-03-04,5510028,Supervisor 1,Segmento 1,João Lucas Rodrigues,5.0,1,8,7,1,6,10,3,4
281,2024-03-01,5510028,Supervisor 1,Segmento 1,Ágatha Moraes,6.8,5,10,7,8,4,8,3,9
282,2024-03-06,5510028,Supervisor 1,Segmento 1,Yan Alves,4.1,9,7,4,1,3,5,3,1
283,2024-03-14,5510028,Supervisor 1,Segmento 1,Sr. Bryan Ramos,5.8,2,3,10,4,6,10,9,2
284,2024-03-24,5510028,Supervisor 1,Segmento 1,Evelyn Mendes,4.6,9,7,8,3,7,0,1,2
285,2024-03-18,5510028,Supervisor 1,Segmento 1,Enzo Gabriel Novais,3.0,4,7,1,0,1,0,3,8
286,2024-01-25,5510029,Supervisor 7,Segmento 3,Sr. Leonardo Nunes,4.5,10,3,3,1,1,2,9,7
287,2024-01-14,5510029,Supervisor 7,Segmento 3,Maria Clara Mendes,6.0,9,7,10,4,4,5,2,7
288,2024-01-20,5510029,Supervisor 7,Segmento 3,Caroline Siqueira,7.4,10,6,10,9,6,6,10,2
289,2024-02-24,5510029,Supervisor 7,Segmento 3,Bruna Mendes,5.2,10,4,2,8,2,3,7,6
290,2024-02-14,5510029,Supervisor 7,Segmento 3,Emilly Montenegro,4.9,6,3,7,8,8,3,1,3
291,2024-02-24,5510029,Supervisor 7,Segmento 3,Sr. Rodrigo Dias,4.4,0,6,6,7,1,2,10,3
292,2024-03-17,5510029,Supervisor 7,Segmento 3,Letícia Pereira,6.0,7,8,6,8,9,4,3,3
293,2024-03-14,5510029,Supervisor 7,Segmento 3,Dr. Carlos Eduardo das Neves,6.2,8,3,6,4,10,5,10,4
294,2024-03-03,5510029,Supervisor 7,Segmento 3,Dom Silva,6.0,8,2,7,3,10,9,5,4
295,2024-01-16,5510030,Supervisor 1,Segmento 3,Dra. Ana Carolina das Neves,5.9,10,10,1,6,6,1,4,9
296,2024-01-13,5510030,Supervisor 1,Segmento 3,Aylla Castro,5.1,8,7,1,0,8,2,9,6
297,2024-01-13,5510030,Supervisor 1,Segmento 3,Clarice Mendes,6.2,8,10,2,9,2,4,10,5
298,2024-01-06,5510030,Supervisor 1,Segmento 3,Maria da Cunha,4.6,9,0,9,4,7,2,1,5
299,2024-01-13,5510030,Supervisor 1,Segmento 3,Daniel Vasconcelos,4.5,5,6,3,2,5,2,5,8
300,2024-01-18,5510030,Supervisor 1,Segmento 3,Luiz Henrique Dias,6.5,10,8,8,5,10,8,2,1
301,2024-02-03,5510030,Supervisor 1,Segmento 3,Ayla da Cunha,3.8,2,10,4,0,2,3,8,1
302,2024-02-27,5510030,Supervisor 1,Segmento 3,Arthur Gabriel Siqueira,5.5,4,0,10,4,9,0,9,8
303,2024-02-13,5510030,Supervisor 1,Segmento 3,Elisa da Costa,3.8,7,3,1,3,3,1,10,2
304,2024-02-03,5510030,Supervisor 1,Segmento 3,Srta. Gabrielly da Conceição,5.9,10,5,6,8,0,9,6,3
305,2024-02-11,5510030,Supervisor 1,Segmento 3,Ana Carolina da Costa,6.8,10,4,8,9,3,6,5,9
306,2024-02-02,5510030,Supervisor 1,Segmento 3,Rodrigo Silveira,5.2,4,5,10,10,5,7,0,1
307,2024-03-26,5510030,Supervisor 1,Segmento 3,Evelyn da Cruz,6.4,10,7,2,7,8,5,3,9
308,2024-03-14,5510030,Supervisor 1,Segmento 3,Lavínia Moreira,5.5,8,7,4,5,7,3,6,4
309,2024-03-13,5510030,Supervisor 1,Segmento 3,Benício Câmara,5.5,1,4,9,2,8,6,4,10
310,2024-03-12,5510030,Supervisor 1,Segmento 3,Caio Cavalcanti,2.9,0,1,8,1,0,1,10,2
311,2024-03-11,5510030,Supervisor 1,Segmento 3,Rodrigo Gonçalves,3.6,9,0,0,2,10,1,0,7
312,2024-03-01,5510030,Supervisor 1,Segmento 3,Vitor Gabriel Cavalcanti,6.1,9,6,10,3,6,6,9,0
313,2024-01-15,5510033,Supervisor 4,Segmento 2,Matteo Porto,3.8,0,5,1,0,9,10,3,2
314,2024-01-09,5510033,Supervisor 4,Segmento 2,Luiz Felipe Sousa,4.1,8,2,1,2,5,2,8,5
315,2024-01-17,5510033,Supervisor 4,Segmento 2,Dr. Enzo da Mata,3.8,5,2,0,2,9,8,1,3
316,2024-02-24,5510033,Supervisor 4,Segmento 2,Emanuelly Nunes,5.9,5,2,8,10,3,3,8,8
317,2024-02-10,5510033,Supervisor 4,Segmento 2,Mathias Moreira,6.9,2,8,5,5,10,10,7,8
318,2024-02-18,5510033,Supervisor 4,Segmento 2,Juan da Conceição,4.5,6,7,9,6,3,0,2,3
319,2024-03-26,5510033,Supervisor 4,Segmento 2,Brenda Lima,5.8,5,9,8,8,10,6,0,0
320,2024-03-07,5510033,Supervisor 4,Segmento 2,Mariane Correia,3.9,0,0,0,4,10,6,8,3
321,2024-03-21,5510033,Supervisor 4,Segmento 2,André Costela,4.2,5,2,4,1,10,5,0,7
322,2024-01-01,5510035,Supervisor 6,Segmento 1,Lorena Brito,3.2,5,2,3,3,5,7,0,1
323,2024-01-19,5510035,Supervisor 6,Segmento 1,Vinícius Viana,5.1,9,1,6,5,0,9,2,9
324,2024-01-19,5510035,Supervisor 6,Segmento 1,Isabella da Luz,4.6,8,10,0,6,5,1,5,2
325,2024-01-15,5510035,Supervisor 6,Segmento 1,André das Neves,3.9,7,0,1,10,2,7,4,0
326,2024-01-06,5510035,Supervisor 6,Segmento 1,Nathan Ramos,5.6,1,2,9,6,10,7,6,4
327,2024-02-05,5510035,Supervisor 6,Segmento 1,Stella Teixeira,5.5,2,4,9,5,4,7,6,7
328,2024-02-07,5510035,Supervisor 6,Segmento 1,Antonella Oliveira,4.4,1,9,2,2,4,7,8,2
329,2024-02-14,5510035,Supervisor 6,Segmento 1,Dra. Ana Julia Borges,5.1,2,1,10,3,10,2,5,8
330,2024-02-25,5510035,Supervisor 6,Segmento 1,Bella Dias,5.4,8,0,7,6,1,10,2,9
331,2024-02-19,5510035,Supervisor 6,Segmento 1,Lara Monteiro,5.4,2,7,0,6,10,5,3,10
332,2024-03-23,5510035,Supervisor 6,Segmento 1,Dr. Guilherme Cirino,2.8,6,6,1,2,1,1,2,3
333,2024-03-08,5510035,Supervisor 6,Segmento 1,Ana Clara Gonçalves,4.9,7,9,2,8,1,4,8,0
334,2024-03-16,5510035,Supervisor 6,Segmento 1,Dr. Pedro Henrique Aparecida,5.5,2,2,9,8,3,5,8,7
335,2024-03-06,5510035,Supervisor 6,Segmento 1,Marina Sampaio,4.5,4,7,4,4,1,10,2,4
336,2024-03-09,5510035,Supervisor 6,Segmento 1,Aylla Barbosa,4.6,0,4,3,8,4,2,8,8
337,2024-01-11,5510036,Supervisor 2,Segmento 3,Hadassa Sousa,5.4,3,5,10,1,1,5,8,10
338,2024-01-09,5510036,Supervisor 2,Segmento 3,Emanuelly Pastor,4.0,2,7,0,2,4,10,5,2
339,2024-01-12,5510036,Supervisor 2,Segmento 3,Benicio Sousa,5.1,8,5,9,2,3,4,4,6
340,2024-02-06,5510036,Supervisor 2,Segmento 3,Dr. Luiz Fernando da Luz,3.0,3,3,2,1,1,1,9,4
341,2024-02-24,5510036,Supervisor 2,Segmento 3,Sarah Dias,3.9,7,0,1,1,7,2,10,3
342,2024-02-02,5510036,Supervisor 2,Segmento 3,Anthony Sousa,6.0,9,6,3,10,1,9,10,0
343,2024-03-18,5510036,Supervisor 2,Segmento 3,Pedro Miguel Garcia,6.8,10,10,1,10,0,7,10,6
344,2024-03-13,5510036,Supervisor 2,Segmento 3,Sra. Sophia Sampaio,5.4,2,3,7,8,5,5,6,7
345,2024-03-26,5510036,Supervisor 2,Segmento 3,Luísa Pacheco,4.1,1,2,3,10,10,0,1,6
346,2024-01-25,5510037,Supervisor 5,Segmento 4,Eloá Jesus,2.2,4,3,0,2,1,2,0,6
347,2024-01-12,5510037,Supervisor 5,Segmento 4,Alana da Paz,5.1,6,3,2,6,7,3,9,5
348,2024-01-25,5510037,Supervisor 5,Segmento 4,Guilherme Casa Grande,6.0,8,9,4,8,3,2,8,6
349,2024-01-15,5510037,Supervisor 5,Segmento 4,Kevin da Conceição,4.0,4,6,4,1,2,6,6,3
350,2024-01-02,5510037,Supervisor 5,Segmento 4,Heloisa da Paz,5.4,0,5,9,6,8,10,3,2
351,2024-02-14,5510037,Supervisor 5,Segmento 4,Luiz Otávio Ribeiro,4.8,8,2,3,3,1,7,7,7
352,2024-02-12,5510037,Supervisor 5,Segmento 4,Bruno Peixoto,5.4,3,6,4,9,10,3,3,5
353,2024-02-09,5510037,Supervisor 5,Segmento 4,Sr. João Caldeira,6.4,4,6,8,1,7,10,5,10
354,2024-02-12,5510037,Supervisor 5,Segmento 4,Bruno Garcia,7.4,5,7,9,5,8,7,10,8
355,2024-02-21,5510037,Supervisor 5,Segmento 4,Gael Alves,5.2,0,6,6,8,10,6,6,0
356,2024-03-27,5510037,Supervisor 5,Segmento 4,Ana Carolina Rocha,6.2,9,6,10,8,5,0,7,5
357,2024-03-26,5510037,Supervisor 5,Segmento 4,Eduarda Viana,4.6,6,6,3,8,6,2,3,3
358,2024-03-06,5510037,Supervisor 5,Segmento 4,Isaac Rocha,4.9,8,8,4,1,0,10,1,7
359,2024-03-04,5510037,Supervisor 5,Segmento 4,Vinicius Abreu,5.8,9,5,8,0,4,9,5,6
360,2024-03-16,5510037,Supervisor 5,Segmento 4,Isaque Cunha,4.4,10,6,0,3,5,6,2,3
361,2024-01-14,5510038,Supervisor 6,Segmento 2,Dra. Alexia Monteiro,4.1,0,2,5,5,5,7,8,1
362,2024-01-07,5510038,Supervisor 6,Segmento 2,Pedro Lucas Aparecida,6.2,7,9,4,6,3,2,10,9
363,2024-01-18,5510038,Supervisor 6,Segmento 2,Antonella Andrade,5.5,5,1,4,10,6,7,4,7
364,2024-01-04,5510038,Supervisor 6,Segmento 2,Ana Vitória Sales,5.4,0,10,2,3,7,5,6,10
365,2024-01-10,5510038,Supervisor 6,Segmento 2,Dr. Anthony Moreira,4.2,1,9,0,4,2,4,4,10
366,2024-01-14,5510038,Supervisor 6,Segmento 2,Dra. Bella Câmara,5.8,10,6,2,4,1,6,10,7
367,2024-02-27,5510038,Supervisor 6,Segmento 2,Hellena Barbosa,6.9,4,9,7,4,8,9,9,5
368,2024-02-25,5510038,Supervisor 6,Segmento 2,Sra. Clarice Jesus,5.1,8,3,9,6,0,4,8,3
369,2024-02-21,5510038,Supervisor 6,Segmento 2,Sra. Emanuella Caldeira,3.2,1,8,2,1,1,8,1,4
370,2024-02-12,5510038,Supervisor 6,Segmento 2,João Guilherme Borges,5.5,8,5,0,6,1,8,7,9
371,2024-02-25,5510038,Supervisor 6,Segmento 2,Gustavo Moreira,5.2,9,6,3,4,10,4,0,6
372,2024-02-27,5510038,Supervisor 6,Segmento 2,Ana Luiza Rezende,6.0,0,8,8,2,4,7,10,9
373,2024-03-27,5510038,Supervisor 6,Segmento 2,Rafaela Mendes,5.4,2,10,2,2,9,7,8,3
374,2024-03-16,5510038,Supervisor 6,Segmento 2,Lara Souza,5.9,0,10,9,9,1,7,9,2
375,2024-03-12,5510038,Supervisor 6,Segmento 2,Calebe Vargas,7.5,10,2,9,3,10,9,8,9
376,2024-03-08,5510038,Supervisor 6,Segmento 2,Rael Dias,4.6,0,8,5,5,3,2,7,7
377,2024-03-23,5510038,Supervisor 6,Segmento 2,Arthur Miguel Vasconcelos,5.5,10,7,7,0,5,5,10,0
378,2024-03-24,5510038,Supervisor 6,Segmento 2,Maria Julia Novaes,6.1,3,7,1,8,1,10,10,9
379,2024-01-08,5510039,Supervisor 1,Segmento 1,Dra. Júlia Lopes,6.1,2,4,7,6,6,10,5,9
380,2024-01-07,5510039,Supervisor 1,Segmento 1,Alice Ferreira,5.4,0,5,3,4,9,10,7,5
381,2024-01-27,5510039,Supervisor 1,Segmento 1,Diogo Azevedo,4.0,7,4,4,5,1,0,1,10
382,2024-01-16,5510039,Supervisor 1,Segmento 1,Guilherme Viana,6.4,10,5,9,8,4,5,5,5
383,2024-01-03,5510039,Supervisor 1,Segmento 1,Paulo Almeida,3.8,4,5,6,2,3,2,1,7
384,2024-02-12,5510039,Supervisor 1,Segmento 1,Nicolas Siqueira,5.4,9,1,4,10,0,1,8,10
385,2024-02-12,5510039,Supervisor 1,Segmento 1,Henrique Barbosa,4.1,6,4,3,5,7,1,6,1
386,2024-02-11,5510039,Supervisor 1,Segmento 1,Mariane Gonçalves,4.5,7,0,2,9,7,2,7,2
387,2024-02-13,5510039,Supervisor 1,Segmento 1,Maria Eduarda Pimenta,4.9,0,2,9,4,5,5,10,4
388,2024-02-22,5510039,Supervisor 1,Segmento 1,Davi da Luz,4.6,6,9,7,2,6,1,4,2
389,2024-03-19,5510039,Supervisor 1,Segmento 1,Matheus Freitas,5.0,4,4,8,3,9,4,1,7
390,2024-03-19,5510039,Supervisor 1,Segmento 1,Julia Marques,5.0,5,7,2,3,0,8,9,6
391,2024-03-12,5510039,Supervisor 1,Segmento 1,Henry Gabriel Silveira,5.8,1,10,2,10,6,9,4,4
392,2024-03-04,5510039,Supervisor 1,Segmento 1,Sra. Juliana Duarte,4.5,6,5,5,1,7,3,7,2
393,2024-03-27,5510039,Supervisor 1,Segmento 1,Sr. Nathan Casa Grande,4.4,3,4,2,10,3,8,2,3
394,2024-01-24,5510041,Supervisor 5,Segmento 3,Maria Julia Pimenta,5.6,9,2,5,6,5,8,4,6
395,2024-01-24,5510041,Supervisor 5,Segmento 3,Elisa Costela,5.9,6,3,7,6,8,2,8,7
396,2024-01-05,5510041,Supervisor 5,Segmento 3,Evelyn Lima,5.9,4,10,2,10,5,9,4,3
397,2024-01-21,5510041,Supervisor 5,Segmento 3,Marina da Costa,5.5,7,3,5,9,10,1,8,1
398,2024-01-18,5510041,Supervisor 5,Segmento 3,Isabela Cavalcanti,6.8,5,8,0,8,4,9,10,10
399,2024-01-02,5510041,Supervisor 5,Segmento 3,Pedro Brito,7.8,10,9,4,7,6,10,6,10
400,2024-02-16,5510041,Supervisor 5,Segmento 3,Diego Mendes,5.1,2,7,3,8,7,2,4,8
401,2024-02-03,5510041,Supervisor 5,Segmento 3,Renan Rios,5.6,8,6,3,5,10,9,2,2
402,2024-02-26,5510041,Supervisor 5,Segmento 3,Camila Carvalho,5.5,1,6,9,3,3,7,5,10
403,2024-02-04,5510041,Supervisor 5,Segmento 3,Sabrina Leão,4.4,10,3,6,1,4,3,2,6
404,2024-02-19,5510041,Supervisor 5,Segmento 3,Maria Julia Aparecida,6.9,9,9,5,3,7,6,8,8
405,2024-02-03,5510041,Supervisor 5,Segmento 3,Léo Cavalcante,5.6,10,2,4,0,9,10,1,9
406,2024-03-06,5510041,Supervisor 5,Segmento 3,Mariana Carvalho,4.6,4,10,1,2,2,9,5,4
407,2024-03-18,5510041,Supervisor 5,Segmento 3,Heitor Sampaio,6.2,7,0,3,4,10,8,9,9
408,2024-03-15,5510041,Supervisor 5,Segmento 3,José Miguel Cunha,5.4,3,1,9,2,6,4,9,9
409,2024-03-21,5510041,Supervisor 5,Segmento 3,Eduarda Rezende,5.1,2,8,9,8,2,1,7,4
410,2024-03-15,5510041,Supervisor 5,Segmento 3,Sra. Heloisa Fogaça,6.9,4,9,4,5,9,10,8,6
411,2024-03-22,5510041,Supervisor 5,Segmento 3,Gabrielly Almeida,3.2,7,3,9,2,1,1,2,1
412,2024-01-03,5510042,Supervisor 2,Segmento 3,Ana Cecília Fogaça,3.1,6,1,8,7,2,0,0,1
413,2024-01-23,5510042,Supervisor 2,Segmento 3,Melina Monteiro,3.9,0,2,9,2,7,1,8,2
414,2024-01-03,5510042,Supervisor 2,Segmento 3,Srta. Rebeca Pires,5.1,2,9,0,9,4,4,6,7
415,2024-01-27,5510042,Supervisor 2,Segmento 3,Sr. Thales Teixeira,3.5,5,0,7,5,0,4,6,1
416,2024-01-10,5510042,Supervisor 2,Segmento 3,José Pedro Souza,3.9,2,10,2,4,7,1,4,1
417,2024-01-25,5510042,Supervisor 2,Segmento 3,Eduarda Albuquerque,5.8,1,6,7,3,9,10,6,4
418,2024-02-22,5510042,Supervisor 2,Segmento 3,Manuella Pacheco,4.4,5,0,6,7,6,1,4,6
419,2024-02-27,5510042,Supervisor 2,Segmento 3,Vinicius Souza,5.8,1,1,7,7,6,9,6,9
420,2024-02-18,5510042,Supervisor 2,Segmento 3,Dra. Maria Flor Lopes,5.1,3,9,1,1,0,9,8,10
421,2024-02-07,5510042,Supervisor 2,Segmento 3,Ágatha Rios,7.2,9,8,3,10,9,7,3,9
422,2024-02-21,5510042,Supervisor 2,Segmento 3,Hadassa Casa Grande,4.4,5,2,7,3,6,7,4,1
423,2024-02-16,5510042,Supervisor 2,Segmento 3,Gael Henrique Rezende,3.4,3,0,4,5,0,4,7,4
424,2024-03-20,5510042,Supervisor 2,Segmento 3,Arthur Miguel Fogaça,4.2,4,2,4,3,8,3,7,3
425,2024-03-17,5510042,Supervisor 2,Segmento 3,Davi Luiz Azevedo,4.5,9,0,0,7,1,10,3,6
426,2024-03-26,5510042,Supervisor 2,Segmento 3,Ana Cecília Cardoso,5.2,5,10,9,1,10,0,6,1
427,2024-03-14,5510042,Supervisor 2,Segmento 3,Emanuella Martins,6.1,8,3,5,5,4,9,6,9
428,2024-03-23,5510042,Supervisor 2,Segmento 3,Danilo Aparecida,5.2,4,4,7,1,0,7,10,9
429,2024-03-24,5510042,Supervisor 2,Segmento 3,Dr. Vinícius Silva,5.0,10,2,3,5,9,5,5,1
430,2024-01-16,5510044,Supervisor 6,Segmento 2,Nina da Luz,5.0,7,2,5,4,10,5,7,0
431,2024-01-01,5510044,Supervisor 6,Segmento 2,Dr. Daniel Correia,7.1,2,7,10,8,9,2,10,9
432,2024-02-15,5510044,Supervisor 6,Segmento 2,Dr. Luiz Fernando Novais,4.0,2,1,4,7,6,2,2,8
433,2024-02-09,5510044,Supervisor 6,Segmento 2,Matheus Farias,6.6,9,10,8,9,9,2,4,2
434,2024-03-03,5510044,Supervisor 6,Segmento 2,Mateus Cassiano,4.2,8,0,3,1,10,0,8,4
435,2024-03-25,5510044,Supervisor 6,Segmento 2,Pietra Azevedo,5.1,6,1,7,5,9,2,6,5
436,2024-01-20,5510045,Supervisor 6,Segmento 1,Antônio Peixoto,8.4,9,3,8,10,10,10,7,10
437,2024-01-11,5510045,Supervisor 6,Segmento 1,Ísis Moraes,7.1,8,8,8,5,8,8,10,2
438,2024-01-13,5510045,Supervisor 6,Segmento 1,Eduarda da Rosa,6.6,8,1,8,8,9,6,6,7
439,2024-01-07,5510045,Supervisor 6,Segmento 1,Jade Ribeiro,5.1,2,7,1,8,5,0,10,8
440,2024-01-14,5510045,Supervisor 6,Segmento 1,Davi Luiz Mendes,4.4,1,4,6,3,5,8,0,8
441,2024-01-10,5510045,Supervisor 6,Segmento 1,Lucas Sá,5.1,0,5,10,7,9,1,6,3
442,2024-02-05,5510045,Supervisor 6,Segmento 1,Sr. Rhavi da Paz,6.8,3,10,9,2,10,10,8,2
443,2024-02-21,5510045,Supervisor 6,Segmento 1,Dr. Luiz Gustavo Albuquerque,4.9,9,8,1,1,8,6,2,4
444,2024-02-04,5510045,Supervisor 6,Segmento 1,Sra. Raquel Fonseca,3.9,3,8,0,1,1,8,0,10
445,2024-02-16,5510045,Supervisor 6,Segmento 1,Thales Vieira,4.4,3,8,10,6,5,0,3,0
446,2024-02-18,5510045,Supervisor 6,Segmento 1,Natália Novais,7.2,6,10,6,6,10,5,10,5
447,2024-02-27,5510045,Supervisor 6,Segmento 1,Srta. Maria Eduarda da Paz,4.8,7,5,1,8,4,2,3,8
448,2024-03-01,5510045,Supervisor 6,Segmento 1,Mateus Barros,4.5,10,1,4,9,0,0,6,6
449,2024-03-07,5510045,Supervisor 6,Segmento 1,Renan Mendes,4.1,6,3,2,2,5,8,1,6
450,2024-03-08,5510045,Supervisor 6,Segmento 1,Julia Cardoso,5.0,0,2,2,3,7,7,9,10
451,2024-03-27,5510045,Supervisor 6,Segmento 1,Pedro Lucas Moreira,5.1,9,4,5,0,5,4,9,5
452,2024-03-08,5510045,Supervisor 6,Segmento 1,Sra. Sofia Nunes,5.9,2,2,2,4,10,9,8,10
453,2024-03-11,5510045,Supervisor 6,Segmento 1,Rafaela Nascimento,5.0,6,7,9,10,4,2,2,0
454,2024-01-16,5510046,Supervisor 2,Segmento 2,Maria Sophia da Cruz,6.6,10,8,5,9,2,7,7,5
455,2024-01-23,5510046,Supervisor 2,Segmento 2,Gael Lima,5.8,1,3,0,10,9,10,3,10
456,2024-01-23,5510046,Supervisor 2,Segmento 2,Letícia Gonçalves,5.0,7,3,2,9,7,2,9,1
457,2024-01-11,5510046,Supervisor 2,Segmento 2,Maria Luísa da Cruz,4.0,4,0,2,10,2,6,8,0
458,2024-02-11,5510046,Supervisor 2,Segmento 2,Maria Gonçalves,4.0,8,1,4,6,3,5,5,0
459,2024-02-22,5510046,Supervisor 2,Segmento 2,Srta. Laís Cavalcante,7.1,6,10,6,6,10,10,5,4
460,2024-02-13,5510046,Supervisor 2,Segmento 2,Sra. Maria Luísa Mendonça,4.6,0,7,9,1,3,10,7,0
461,2024-02-14,5510046,Supervisor 2,Segmento 2,Thomas da Conceição,4.5,5,7,10,1,1,3,2,7
462,2024-03-22,5510046,Supervisor 2,Segmento 2,Marcos Vinicius Novaes,5.5,10,10,2,3,5,6,6,2
463,2024-03-24,5510046,Supervisor 2,Segmento 2,Maria Flor Sousa,5.2,10,5,7,8,3,2,1,6
464,2024-03-02,5510046,Supervisor 2,Segmento 2,Clara Rios,4.9,8,4,4,5,6,5,5,2
465,2024-03-11,5510046,Supervisor 2,Segmento 2,Camila Pereira,2.6,0,1,3,3,2,0,5,7
466,2024-01-26,5510047,Supervisor 3,Segmento 4,Ravi Oliveira,3.8,7,1,9,4,0,2,0,7
467,2024-01-08,5510047,Supervisor 3,Segmento 4,Ana Laura da Cruz,4.4,1,2,7,7,7,1,9,1
468,2024-01-26,5510047,Supervisor 3,Segmento 4,Isadora Rodrigues,4.4,0,1,6,4,10,6,0,8
